1;РэйлАльянс;+77996723002;Швейцария;1936-09-30;д. Набережные Челны, ш. Детское, д. 9/3, 509041
2;ИП «Рожкова-Казаков»;+77870956657;Мексика;1999-02-18;д. Мокшан, алл. Волжская, д. 3 к. 4/9, 451164
3;НПО «Королев»;+7 (208) 701-87-60;Джибути;1982-04-10;ст. Тверь, пер. Октября, д. 9 к. 140, 868671
4;АО «Лазарев, Ершов и Громова»;83238564135;Зимбабве;2022-07-23;с. Лотошино, ул. Сенная, д. 819 стр. 267, 164685
5;ООО «Денисов Ковалева»;+78609924147;Сент-Винсент и Гренадины;1990-10-13;к. Бологое, пер. Докучаева, д. 7 стр. 60, 522613
6;АО «Соловьев Жданова»;+7 617 890 0327;Бельгия;1925-05-21;к. Троицко-Печорск, пер. Сенной, д. 7/4 к. 939, 707316
7;Муравьева Групп;8 063 574 00 03;Шри-Ланка;1935-01-12;ст. Сургут (Хант.), пр. Просторный, д. 180 к. 353, 795325
8;НПО «Шилова, Мельников и Русакова»;8 (899) 216-8610;Гайана;1955-06-17;д. Диксон, алл. Серафимовича, д. 1, 285806
9;ОАО «Савин Кулагина»;+7 230 449 4381;Словения;2010-12-22;клх Мытищи, пер. Медицинский, д. 38 стр. 74, 664810
10;Мерседес-Бенц Рус (Mercedes-Benz);8 510 443 2946;Белоруссия;1912-01-16;п. Цимлянск, алл. Монтажников, д. 9/4 к. 101, 478260
11;ОАО «Мясникова-Лаврентьева»;+78978728645;Кипр;2008-05-09;д. Юрьев-Польский, бул. Комарова, д. 9/3, 044470
12;Мечел;+7 (274) 601-3539;Шри-Ланка;1945-11-06;с. Малгобек, ул. Орджоникидзе, д. 5/1 стр. 56, 220573
13;ОАО «Голубева, Архипова и Овчинникова»;8 755 767 66 29;Индонезия;1910-02-07;п. Бреды, ул. Специалистов, д. 2, 271319
14;Слата супермаркет;8 179 217 9446;Египет;1991-12-14;ст. Горячинск, ул. Пархоменко, д. 28 стр. 9/4, 798596
15;ГК Автодилерство;+7 882 099 53 00;Науру;2005-10-14;ст. Белый Яр (Томск.), ул. Мелиоративная, д. 3/3, 233491
16;АО «Савина, Лазарева и Русакова»;86292009900;Замбия;1997-10-13;с. Щелково, пр. Урицкого, д. 52, 591324
17;АО «Ефремов Иванов»;8 597 446 5819;Латвия;1949-10-09;г. Усолье Сибирское, ш. Октябрьское, д. 70 к. 6/5, 291414
18;ООО «Зыков-Гришина»;82988936482;Эритрея;2022-05-19;с. Пушкин, бул. Иркутский, д. 725 стр. 773, 239495
19;Попова и партнеры;+7 821 872 5924;Руанда;2022-04-06;к. Эльбрус, ул. Высотная, д. 4 к. 6/7, 003670
20;Банк Ак Барс;+7 (351) 940-4544;Мексика;1986-06-02;г. Волхов, бул. Коммуны, д. 638, 577786
21;НПО «Нестерова, Одинцова и Колесникова»;8 (176) 244-1297;Лесото;2012-04-21;г. Саянск, ул. Ручейная, д. 3/1 стр. 2/4, 878376
22;Киселев Групп;+7 162 134 76 99;Пакистан;1969-05-13;к. Махачкала, пр. Запрудный, д. 728 к. 647, 675104
23;ОАО «Кабанов»;+7 (088) 836-61-27;Джибути;1976-12-15;п. Бодайбо, бул. Водников, д. 1/9 стр. 7, 399595
24;НПО «Русакова, Романов и Лапина»;+7 005 741 34 33;Республика Конго;1917-07-02;к. Вендинга, пр. Горный, д. 97 стр. 77, 130998
25;Блохин и партнеры;8 517 523 3441;Китай;1913-12-12;г. Серафимович, пер. Привольный, д. 6, 353658
26;РАО «Евсеева Буров»;8 (718) 043-6720;КНДР;1994-02-16;ст. Истра, пер. Коммунальный, д. 1, 948895
27;РАО «Волкова Стрелкова»;+7 734 324 1887;Индонезия;1968-08-22;с. Воркута, пр. Ленина, д. 1, 978478
28;НПО «Русакова Мельникова»;8 697 883 2449;Болгария;1955-07-06;п. Байкальск, бул. Бажова, д. 2/4 стр. 9, 286631
29;ООО «Рогов»;8 886 710 7158;Кувейт;1998-06-28;с. Камышин, бул. Войкова, д. 9/3 к. 351, 745298
30;ПСК;+7 (635) 907-21-50;Тунис;1957-06-14;к. Партизанск, алл. Приморская, д. 694, 787303
31;Носкова Лтд;+7 674 118 5968;Нидерланды;1968-08-21;клх Североуральск, алл. Шишкина, д. 9/5 к. 111, 624513
32;Ситникова Лимитед;8 698 915 4896;Республика Корея;1940-11-02;с. Кашхатау, ул. Весенняя, д. 761 стр. 48, 535206
33;НПО «Фокин-Гришин»;8 (592) 503-0349;Тонга;1910-05-20;п. Октябрьское (Челяб.), пр. Докучаева, д. 78 к. 8, 253046
34;Уварова Лтд;+7 (699) 531-80-73;Таджикистан;1995-12-07;к. Красноуфимск, пр. Чехова, д. 64, 772962
35;ИП «Ларионова Попов»;+7 694 077 49 84;Камбоджа;1952-10-11;п. Павловская, пр. Советский, д. 61 к. 7/1, 031181
36;АО «Константинов Артемьева»;85026051278;Республика Конго;1957-09-19;п. Армавир, наб. Прудовая, д. 552 к. 192, 220663
37;ОАО «Филиппова-Куликов»;8 440 271 6136;Буркина-Фасо;1915-12-07;к. Малая Вишера, ул. Герцена, д. 17 к. 7, 319606
38;Тарасова Лимитед;8 106 644 4469;Польша;1932-03-19;с. Верхний Тагил, наб. Пархоменко, д. 5, 562502
39;ОАО «Борисова, Богданов и Кузьмина»;8 (626) 376-9513;Маврикий;1947-04-29;с. Абинск, пр. Геологический, д. 1/6 к. 8/6, 010555
40;Игнатов и партнеры;8 927 731 59 13;Гондурас;1938-10-17;с. Южно-Сахалинск, ш. Космонавтов, д. 4 к. 728, 927950
41;Матвеева Групп;8 399 115 8087;Мексика;1987-02-27;д. Чермоз, бул. Солнечный, д. 90 к. 426, 089748
42;Красильников Инкорпорэйтед;+7 (219) 121-5614;Сирия;1954-10-16;ст. Северо-Курильск, ш. Безымянное, д. 6 стр. 980, 558825
43;ЗАО «Мишин»;8 (692) 729-1706;Малави;1999-07-21;д. Киржач, наб. Боровая, д. 8, 183058
44;Селиверстова Инк;8 920 366 20 75;Кувейт;1964-06-29;клх Хатанга, алл. Бульварная, д. 14 стр. 281, 796131
45;РАО «Носков Елисеева»;+7 (794) 907-05-26;Кот-д’Ивуар;1970-08-13;к. Сладково, бул. Коммунистический, д. 6/7 к. 448, 617978
46;Берлин-Хеми А. Менарини (Berlin Chemie);8 (694) 002-0050;Швейцария;1993-06-16;д. Сосногорск, бул. Санаторный, д. 866, 845432
47;ИП «Гурьев Гуляева»;89850031630;Малайзия;1972-02-06;д. Бомнак, бул. Матросова, д. 6/4 стр. 618, 646282
48;РАО «Зуева»;+7 192 258 86 35;Барбадос;1932-03-09;клх Череповец, ш. Инженерное, д. 75, 321012
49;ООО «Зуев-Лобанов»;+72187371406;Палау;1933-10-01;клх Уварово, пр. Кирова, д. 48 к. 802, 203102
50;ИП «Тихонов»;+7 940 591 85 00;Соломоновы Острова;1985-03-02;клх Усть-Ордынский, бул. Ангарский, д. 1, 917523
51;ОАО «Жданова-Маслова»;+7 (845) 378-2295;Иран;1908-12-08;с. Кизилюрт, ул. Заовражная, д. 513 к. 7/6, 691967
52;ЗАО «Шарапова, Большаков и Терентьева»;8 (131) 462-10-48;Израиль;1906-09-02;д. Челюскин, пер. Киевский, д. 76 стр. 765, 786116
53;Тетерина и партнеры;8 (435) 631-22-02;Финляндия;1906-12-01;к. Ишим, ш. Нижнее, д. 8, 222099
54;ЗАО «Соболева Сидоров»;+74374859171;Боливия;1930-01-12;г. Рославль, алл. Озерная, д. 347 к. 209, 705735
55;ЗАО «Богданова, Шестаков и Якушев»;+7 862 360 39 96;Гватемала;1994-12-12;к. Слюдянка, наб. Ленская, д. 6/5, 907660
56;Сингента (Chemchina);+7 470 110 8755;Польша;1905-12-05;клх Чебоксары, ш. Геологов, д. 5 стр. 481, 214201
57;ЗАО «Моисеев-Кудрявцева»;+79489107655;Чад;1918-07-11;г. Юрюзань, пер. Свердлова, д. 44 к. 8, 614616
58;Самойлов Лимитед;+7 744 442 60 65;Южный Судан;1917-07-17;ст. Тарко-Сале, ш. З.Космодемьянской, д. 97 стр. 518, 636135
59;ИП «Корнилов»;8 381 823 9808;Республика Корея;1908-11-12;клх Краснокамск, ш. Горное, д. 8 стр. 9/7, 475915
60;ОАО «Щербаков»;8 877 528 05 55;Словения;1947-10-06;д. Плесецк, пр. Литейный, д. 39 стр. 619, 571291
61;АО «Шубина, Крылова и Гуляева»;+7 (451) 619-0552;Словакия;2003-11-21;к. Адыгейск, пр. Енисейский, д. 3/9 к. 2, 957181
62;АО «Сазонов-Юдина»;8 (822) 631-7679;Оман;1976-07-13;г. Томари, наб. Пионерская, д. 9 стр. 92, 328505
63;ОАО «Гусева, Назаров и Пономарев»;+72764339008;Туркмения;1996-05-15;г. Белгород, наб. Мая 1, д. 7, 789997
64;Князева Лтд;+72070442220;Алжир;2017-07-03;г. Нижний Тагил, наб. Дальневосточная, д. 696 к. 1/4, 649849
65;АО «Кондратьева, Блинова и Марков»;+7 075 865 2091;Ирак;1953-02-11;п. Кемерово, ш. Победа, д. 8 к. 817, 829785
66;АО «Михеева-Кононов»;8 260 934 70 46;Алжир;1972-09-30;клх Якутск, пр. Толстого, д. 1/9, 634548
67;ИП «Аксенова Сорокин»;+7 938 952 3168;Экваториальная Гвинея;1909-01-14;с. Калевала, алл. Безымянная, д. 651, 792492
68;ЗАО «Носков Шубин»;8 (101) 895-39-16;Словакия;1913-03-25;с. Курчатов, пер. Нефтяников, д. 51 стр. 622, 386416
69;Либхерр-Русланд (Liebherr);+72016156902;Сальвадор;1938-02-28;к. Нягань, ш. Детское, д. 92 стр. 81, 738562
70;Комиссарова Лимитед;8 854 915 6280;Вануату;1968-11-08;д. Владикавказ, пер. Кольцевой, д. 144, 795914
71;ОАО «Игнатова-Бобылев»;+7 462 494 96 56;Литва;2018-03-05;к. Новосибирск, пер. Союзный, д. 217 к. 8/2, 082650
72;ОАО «Осипов, Васильева и Белозеров»;+7 (332) 946-04-75;Черногория;1933-02-10;ст. Приозерск, ш. Гвардейское, д. 7/8 к. 1, 793089
73;ОАО «Одинцов-Зайцев»;8 808 447 59 97;Тринидад и Тобаго;1989-11-01;к. Канск, алл. Социалистическая, д. 4/6 к. 804, 828125
74;Псковвтормет;8 (485) 636-36-59;Индонезия;1938-12-10;г. Дубна, пр. Мусы Джалиля, д. 11, 397397
75;НПО «Сидорова Федорова»;8 (914) 397-31-66;Финляндия;2003-03-09;к. Каменск-Шахтинский, алл. Челюскинцев, д. 6/8 стр. 773, 435314
76;Банк Возрождение;88751786935;Кувейт;1960-04-15;ст. Белгород, ул. Ягодная, д. 5/3, 863428
77;АО «Данилов, Гаврилова и Лазарев»;80573568747;Кабо-Верде;1948-03-26;клх Тула, наб. Революционная, д. 474 стр. 127, 229502
78;КРКА Фарма (KRKA);+7 817 477 0179;Сент-Винсент и Гренадины;1937-12-18;с. Льгов, бул. 30 лет Победы, д. 7, 533776
79;ООО «Сидоров, Суворова и Кулагина»;8 (216) 783-54-53;Сальвадор;2015-02-28;д. Мелеуз, наб. Болотная, д. 8/5 к. 4, 767713
80;ООО «Боброва-Лобанов»;+7 718 283 5401;Мексика;1944-11-03;клх Можайск, пр. Механизаторов, д. 372 стр. 8/5, 012185
81;Захаров Инкорпорэйтед;8 473 889 0380;Индонезия;1914-06-10;с. Шенкурск, алл. Шахтерская, д. 771 к. 7, 412001
82;Киселева и партнеры;+7 (776) 379-6644;Бурунди;1918-10-18;к. Дно, ул. Крупской, д. 597 к. 55, 326351
83;Минудобрения;+7 460 545 7508;Словакия;1936-08-19;д. Усть-Илимск, пр. Циолковского, д. 56 к. 600, 377203
84;Морозов и партнеры;+70861771860;Кипр;1963-11-15;п. Карталы, наб. Таежная, д. 729 стр. 6, 888346
85;ОАО «Кузьмин»;8 (447) 149-6827;Южный Судан;1984-08-29;с. Калевала, наб. 50 лет ВЛКСМ, д. 3 стр. 2, 290147
86;Мосинжпроект;+7 (621) 530-07-36;ОАЭ;1964-10-28;к. Соль-Илецк, алл. Новоселов, д. 186 стр. 2, 419096
87;АО «Лапин, Хохлова и Зимина»;83738914955;Ливия;1997-08-31;ст. Уфа, ш. Космонавтов, д. 26, 261450
88;НПО «Суворова»;8 560 828 0253;Мадагаскар;1986-09-21;ст. Магнитогорск, алл. Широкая, д. 5, 405858
89;ИП «Рябов-Аксенова»;+7 (226) 060-05-49;Монако;1946-08-25;д. Междуреченский, наб. Макаренко, д. 1, 167695
90;Астеллас Фарма;+7 (886) 682-4941;Бразилия;1988-01-23;п. Юрьевец (Иван.), алл. Российская, д. 288 стр. 40, 538071
91;Мартынов Лимитед;+78817437129;Йемен;1939-04-09;г. Арзамас, алл. Путевая, д. 6, 356451
92;Сафонова Групп;8 (334) 552-81-56;Швеция;2019-06-03;ст. Орел, ш. Серова, д. 842 к. 83, 634282
93;ОАО «Романов Лихачева»;+7 652 587 8490;Сирия;2015-06-18;с. Верхний Тагил, ул. Амурская, д. 2/5 стр. 9, 337974
94;Семенов и партнеры;+70727953003;Новая Зеландия;1955-01-28;д. Муравленко, пер. Победа, д. 4 стр. 72, 895353
95;Удмуртнефть;+7 990 044 9974;Латвия;2015-12-30;ст. Соликамск, ш. Среднее, д. 898, 953657
96;АО «Шубина-Ситников»;8 (246) 256-9594;Сенегал;2000-09-01;с. Кашхатау, пр. Курганный, д. 679 стр. 3, 783499
97;НПО «Беспалова»;+76262148437;Казахстан;1939-09-29;д. Бирск, алл. Сосновая, д. 3/4, 510269
98;ИП «Щербакова»;8 629 421 56 56;Гана;2006-07-09;г. Хасан, пр. Котовского, д. 815 стр. 1/6, 900364
99;ООО «Фролова Фомичев»;+7 690 093 7395;Словения;1909-03-09;п. Псебай, бул. Ветеранов, д. 8 стр. 5/9, 150178
100;АО «Игнатьева, Быков и Чернов»;8 114 202 9210;Ирландия;1907-09-09;п. Уренгой, ш. Кочубея, д. 981, 705190
101;ООО «Яковлева, Артемьева и Туров»;8 (835) 678-24-32;Бразилия;1961-04-25;к. Чулым, ш. Парковое, д. 29, 013455
102;РАО «Филиппова, Стрелкова и Голубева»;+7 906 245 2263;Нигер;1952-02-29;ст. Троицко-Печорск, пер. Орджоникидзе, д. 856, 072729
103;САМ-МБ;+73045795932;Ангола;1949-07-22;клх Тюмень, наб. Новая, д. 1, 251935
104;ООО «Фадеева-Тетерин»;8 (038) 061-9657;Ливия;1985-08-03;к. Моздок, пр. Шоссейный, д. 5 стр. 16, 048911
105;ООО «Шубин Владимиров»;8 051 030 0572;Тунис;1956-10-25;к. Углич, алл. Московская, д. 82 к. 676, 335803
106;ООО «Сергеев Устинов»;+7 (634) 149-6806;Фиджи;1931-12-29;д. Кострома, пер. Мелиораторов, д. 5 стр. 3/7, 811929
107;ЗАО «Николаев, Федоров и Быков»;8 (229) 411-33-98;Эстония;1998-12-23;с. Кинешма, алл. Иркутская, д. 16 стр. 75, 295330
108;ЗАО «Куликова Белозеров»;+78045432430;Танзания;1930-09-04;д. Екатеринбург, алл. Огородная, д. 72, 632366
109;СК Росгосстрах;8 482 690 7852;Буркина-Фасо;2020-04-19;ст. Лабинск, ул. Таманская, д. 166 к. 3, 322134
110;ЗАО «Колесников-Григорьева»;+76320690363;Камерун;1980-02-16;к. Мокшан, бул. Юности, д. 4 стр. 7, 696522
111;РАО «Исаков-Шашков»;+7 457 556 39 81;Грузия;2016-07-25;клх Артем, ул. Дружбы, д. 7, 998195
112;Трофимова Групп;89243393702;Замбия;1958-04-27;г. Верхоянск, пер. Шмидта, д. 228 к. 97, 556406
113;ООО «Маслов, Борисова и Тарасов»;89433889509;Индонезия;2001-04-01;п. Гусь-Хрустальный, алл. Горького, д. 6 к. 71, 159158
114;ИП «Тетерина, Кононова и Блинов»;84827495536;Науру;1978-05-07;ст. Макушино, пр. Калинина, д. 2 стр. 513, 863238
115;ИП «Кудряшова Алексеев»;+70585844861;Япония;1928-12-16;с. Кировск (Мурм.), пр. Подгорный, д. 1/9 стр. 49, 566312
116;АО «Лыткин, Васильев и Одинцов»;82934355802;Гана;2001-05-18;г. Невинномысск, пр. Пограничный, д. 81 к. 5/3, 590652
117;РАО «Лаврентьев, Самсонова и Трофимова»;+73745738742;Гондурас;1991-08-02;к. Уэлен, бул. Союзный, д. 7 к. 917, 601957
118;Т2 РТК Холдинг;80691805287;Иордания;2016-10-25;ст. Сузун, наб. Индустриальная, д. 674 стр. 88, 220340
119;Газпромбанк;8 (292) 513-54-44;Мадагаскар;1906-05-23;д. Хатанга, пер. Мостовой, д. 4, 022491
120;ИП «Никонов-Виноградов»;8 (090) 727-84-57;Туркмения;1947-06-27;ст. Нефедова, наб. Ключевая, д. 8/4 стр. 5/4, 573801
121;ЗАО «Борисов, Яковлев и Борисов»;83220665526;Сент-Люсия;1964-01-06;к. Верещагино (Перм.), бул. Циолковского, д. 7/2, 250450
122;ГК 1520;8 (535) 114-5547;Молдавия;1944-06-04;ст. Приозерск, пр. Красногвардейский, д. 6/7 к. 588, 528559
123;ООО «Бобылев, Петров и Савельев»;85793843519;Южный Судан;1965-10-20;г. Снежногорск (Мурм.), ш. Прудовое, д. 618 к. 5, 956310
